               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.03101,            0.010978,           0.0017734,             0.78773,             0.74758,             0.79157,             0.44281,            0.028319,           0.0097387,           0.0019576,            0.001783,            0.001783,            0.001783
                  85,            0.030689,            0.010994,           0.0017428,             0.78736,             0.74822,             0.79136,             0.44328,            0.028323,            0.009742,           0.0019609,            0.001684,            0.001684,            0.001684
                  86,            0.030591,            0.010783,           0.0018382,             0.78857,             0.74693,             0.79089,             0.44333,            0.028324,           0.0097445,           0.0019656,            0.001585,            0.001585,            0.001585
                  87,            0.030307,            0.010849,           0.0017638,             0.78876,             0.74569,             0.79083,             0.44395,            0.028329,           0.0097478,           0.0019702,            0.001486,            0.001486,            0.001486
                  88,            0.030127,            0.010582,           0.0017654,              0.7886,             0.74543,             0.79038,             0.44402,            0.028336,           0.0097514,           0.0019738,            0.001387,            0.001387,            0.001387
                  89,            0.030001,            0.010695,            0.001755,             0.78999,             0.74513,             0.79064,             0.44407,            0.028343,           0.0097541,           0.0019796,            0.001288,            0.001288,            0.001288
                  90,            0.029701,            0.010558,            0.001713,             0.78968,             0.74614,             0.79017,             0.44386,            0.028352,           0.0097588,           0.0019864,            0.001189,            0.001189,            0.001189
                  91,            0.029605,            0.010574,            0.001721,             0.79207,             0.74267,             0.79008,             0.44364,             0.02836,            0.009764,           0.0019912,             0.00109,             0.00109,             0.00109
                  92,            0.029291,             0.01045,           0.0016454,              0.7909,             0.74419,              0.7902,             0.44358,            0.028369,             0.00977,           0.0019963,            0.000991,            0.000991,            0.000991
                  93,            0.029264,            0.010465,           0.0016385,             0.79164,             0.74372,             0.79011,             0.44348,            0.028375,           0.0097747,           0.0020016,            0.000892,            0.000892,            0.000892
                  94,            0.028973,            0.010424,           0.0017423,             0.79268,              0.7422,             0.79042,             0.44395,            0.028384,           0.0097802,           0.0020069,            0.000793,            0.000793,            0.000793
                  95,            0.028821,            0.010324,           0.0016275,             0.79305,             0.74327,             0.79033,             0.44398,            0.028393,            0.009787,           0.0020122,            0.000694,            0.000694,            0.000694
                  96,            0.028505,            0.010222,           0.0015808,             0.79381,             0.74188,             0.79035,             0.44429,            0.028402,           0.0097946,           0.0020184,            0.000595,            0.000595,            0.000595
                  97,            0.028324,            0.010128,           0.0016123,             0.79437,             0.74192,             0.78988,             0.44441,             0.02841,           0.0098014,           0.0020242,            0.000496,            0.000496,            0.000496
                  98,            0.028142,            0.010186,           0.0016432,             0.79589,             0.74215,              0.7911,             0.44477,            0.028421,           0.0098095,           0.0020305,            0.000397,            0.000397,            0.000397
                  99,            0.027986,            0.010039,            0.001512,             0.79598,             0.74155,             0.79039,             0.44431,            0.028431,           0.0098169,           0.0020377,            0.000298,            0.000298,            0.000298
